Date,Close,High,Low,Open,Volume
2009-01-02,2.721686363220215,2.730384564060046,2.554037226218475,2.5756304672583537,746015200
2009-01-05,2.836552858352661,2.8845386270494378,2.7804693222595778,2.7942657187762197,1181608400
2009-01-06,2.789766788482666,2.9142292526031772,2.7708724008265406,2.877640546798946,1289310400
2009-01-07,2.7294838428497314,2.774170305556812,2.7069904526804853,2.7534772194820034,753048800
2009-01-08,2.7801692485809326,2.7936657260555666,2.7003930560001206,2.7120900298397097,673500800
2009-01-09,2.7165889739990234,2.8005640264937393,2.703393211800058,2.795465832185914,546845600
2009-01-12,2.6590068340301514,2.7288857765895536,2.625716607902898,2.712990156603704,617716400
2009-01-13,2.6305136680603027,2.691395462126428,2.5897263276973637,2.646409280691181,798397600
2009-01-14,2.5591349601745605,2.6167174643595703,2.540840210080983,2.586426826388225,1021664000
2009-01-15,2.5006520748138428,2.522845744932796,2.400782261078231,2.4163773531078525,1831634000
2009-01-16,2.469162702560425,2.5306441531327795,2.411280460137487,2.5282450147195594,1047625600
2009-01-20,2.345299482345581,2.459265255971349,2.345299482345581,2.4571658348236154,919914800
2009-01-21,2.4841578006744385,2.485657587304835,2.3785895195590543,2.380988657616996,1089270000
2009-01-22,2.6500084400177,2.699194277354555,2.573831446739748,2.640411686902462,1409528400
2009-01-23,2.6500084400177,2.6952951521815165,2.594225623248156,2.603822176151575,763770000
2009-01-26,2.6883976459503174,2.728285849468511,2.6482089244705675,2.6650040945179034,692238400
2009-01-27,2.7210872173309326,2.7456802359045525,2.6913962052543208,2.704891883220633,618038400
2009-01-28,2.8251566886901855,2.849149273464093,2.744180613913186,2.7627750873459767,861406000
2009-01-29,2.7891674041748047,2.8293553210465796,2.777170712255149,2.7918662594330987,592729200
2009-01-30,2.7030935287475586,2.807761477341915,2.6994943204445803,2.777171109838325,651478800
2009-02-02,2.744479179382324,2.759174721485117,2.6662027937577353,2.672201137646014,558247200
2009-02-03,2.788567304611206,2.800563997974938,2.707592026948076,2.75677686804467,599309200
2009-02-04,2.805661678314209,2.8866379479824658,2.792166200636312,2.795765408454838,808421600
2009-02-05,2.8929355144500732,2.916628176279645,2.7777698935595354,2.7822684520838354,749246400
2009-02-06,2.9907076358795166,2.9991051211692152,2.909131921485415,2.9097313557404125,687209600
2009-02-09,3.0743815898895264,3.089077137272778,2.9841084840511125,2.9991047495838146,715010800
2009-02-10,2.9340243339538574,3.0743818387098165,2.9109313004523463,3.038992995670997,849060800
2009-02-11,2.9037322998046875,2.9484187711820837,2.872241787711885,2.890236823677585,674973600
2009-02-12,2.9772109985351562,2.991606829853187,2.874041841779786,2.874041841779786,817188400
2009-02-13,2.9739110469818115,2.997303986085087,2.942720261299045,2.968812054564063,608977600
2009-02-17,2.835052013397217,2.9103296286596696,2.827554684056721,2.9052314366996623,678238400
2009-02-18,2.8302550315856934,2.8746415960487677,2.7807702728335966,2.8506492102246623,684779200
2009-02-19,2.7183890342712402,2.8266562039840077,2.7024934133205183,2.800264475917614,922804400
2009-02-20,2.7351834774017334,2.7711725545464363,2.6692026684204944,2.681199361155109,750316000
2009-02-23,2.607722043991089,2.759176733818222,2.5945262784481256,2.748680024781725,786982000
2009-02-24,2.7066917419433594,2.7258860513812686,2.6092212086814053,2.6227168884173095,807105600
2009-02-25,2.7339835166931152,2.7867677655586607,2.6767009082964215,2.694995665234189,833053200
